neighborhood,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
Katabi  Town Council,40008.63796046376,42730.49774286151,45572.09836345911,48704.866839289665,52000.98044461012,55533.411851495504,59399.749664872885,63464.61280936003,67846.9339531064,72411.88166415691,77380.8531113267,82739.97470575571,88262.83976393938,94255.99885928631,100853.7413572073,107634.88499385118,114990.99219888449,122877.13463145494,131370.5026986599,140292.5665103197,149956.511174798
Kawempe Division,228529.5918416977,234043.4716758728,239207.7846364975,244138.4801492691,248750.30514907837,253398.74053573608,258696.19838905334,264603.2044067383,270171.7254867554,275389.6656150818,281183.341632843,287141.4795780182,293440.2958755493,298925.51372146606,304835.0820350647,311356.01518058777,318103.78742980957,324523.9328842163,331141.51066970825,338934.0527076721,345766.5640525818
Kawolo Division,29994.423750519753,30601.07713109255,31213.496641993523,31907.06616139412,32459.959061324596,33144.789725899696,33817.91139674187,34363.55767583847,35154.490122139454,36037.89035522938,36813.656708180904,37439.18623137474,38224.176022052765,38981.1663248539,39788.22346043587,40616.97674936056,41332.17506176233,42233.08058488369,43224.23135089874,44087.568427443504,45015.13607639074
Kikandwa,22606.44863140583,23868.14268657565,24314.987899690866,24659.033162891865,25093.73726773262,25548.85345160961,25981.620895147324,26387.8549913764,26888.839455664158,27337.08477270603,27854.12738341093,28346.53535848856,28850.686060369015,29348.952461898327,29718.093927025795,30287.844298392534,30763.09042197466,31319.309963196516,31914.627704769373,32497.14559108019,33058.104325294495
Kimenyedde,22873.654766470194,23483.844810396433,24233.96351915598,24978.436782479286,25771.36551308632,26561.9083648324,27285.43404790759,28325.21417438984,29100.735565900803,30035.5377599895,30884.1369227767,31788.04036152363,32797.00407770276,33749.43943566084,34724.692509293556,35725.47430551052,36809.72091412544,37883.211576879025,38962.387478888035,40133.17428833246,41305.05793172121
Kira Division,39248.42363715172,42181.204228401184,44519.263995051384,45277.674275517464,46250.22966706753,49538.992403030396,54236.54093563557,56991.32320523262,62440.283725976944,69789.14520275593,76901.12691867352,82504.79291701317,89117.52181375027,98025.35919499397,106789.13561701775,115034.18695521355,120637.13780856133,131545.8947634697,142524.34687399864,149867.3741695881,164470.20380330086
Kiringente,15842.097983270884,16205.421948254108,16572.254301786423,17026.337199896574,17466.67900672555,17830.402379631996,18266.93533757329,18725.321241259575,19133.87426817417,19729.94355094433,20248.048577606678,20783.883902728558,21318.057692348957,21706.096884787083,22231.165473222733,22824.855765998363,23442.333341360092,24028.78957861662,24636.984173297882,25280.73621457815,25919.738373935223
Kyampisi,29928.929116129875,30719.26121598482,31606.637966811657,32389.771760225296,33333.66917896271,34346.08003503084,35298.107528328896,36605.226375579834,37666.136962890625,38784.43747317791,39913.387957036495,41096.612022697926,42323.593732357025,43544.37701612711,44810.31513392925,46176.57231485844,47500.36954510212,48969.32053565979,50457.61618518829,51902.26555740833,53487.459094285965
Kyengera Town Council,85055.76156398654,90078.49485248327,95819.31558001041,101802.2464826107,108557.8942605257,115585.2794675827,123565.698569417,131576.31375980377,140491.89282375574,149651.45068973303,159756.0542268157,170095.30390578508,181296.4932039976,193745.08476126194,206645.99210047722,220315.78049385548,234689.59739649296,250611.53402793407,268055.20837807655,285762.4805954695,305149.89756572247
Makindye Division,291179.3574228287,297017.7361047268,303092.30969023705,308974.71935009956,315175.84763383865,321308.5859968662,327730.74694657326,334566.22208046913,341170.5664803982,348432.937721014,355038.9955763817,362403.3270075321,369798.7820827961,377329.58155584335,385021.83628201485,392864.7774977684,400575.674118042,408945.45566034317,416776.22467827797,425622.33329820633,433782.5346727371
