neighborhood,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024
Namayumba,33724.80538407713,34722.91555430461,35883.818311860785,37061.53699217923,38307.468743101694,39630.30915619433,40974.010360634886,42321.126324780285,43542.337230360135,44809.12812239118
Namayumba Town Council,33430.92912466824,34416.201805152,35603.002618988976,36796.470635999925,38069.7876526434,39422.59289652668,40817.728369984776,42242.07817136869,43587.35291134752,44957.389877790585
Namugongo Division,137633.56571880728,142055.46258754283,147217.08008576185,152262.54729689658,157076.13324056566,162419.12830180302,167347.67117085308,172438.90434791148,177032.26135587692,181608.85127910227
Nansana Division,114353.19792740047,118007.83929680288,122354.46131075919,126606.78006619215,130727.6644115597,134992.85736481845,139145.3893469423,143345.66810688376,147088.19637978077,150871.81445476413
Ndejje Division,133473.18577834964,137612.15418567508,142536.84477248043,147483.88750790805,152233.17250666767,157274.40269662812,162080.03002671152,166954.24252146482,171329.79721414298,175765.68338303268
Njeru Division,57588.023194894195,59436.148973196745,61668.672814287245,63901.633008418605,66159.85969915986,68500.58702006377,70791.45486877114,73139.51015330851,75249.85861093923,77400.11285490729
Nkokonjeru Town Council,9282.131016016006,9581.8979484085,9940.112322444096,10296.09711955674,10664.678922953084,11063.108480915427,11446.46247984469,11843.046151589602,12208.664175251499,12576.755560772493
Ntenjeru,36128.67145041004,37238.92174164113,38541.90481688175,39868.326076026075,41191.07122416934,42600.27480953559,43978.56725909654,45363.26152210217,46641.297221470624,47931.171408155
Ntunda,13469.18387862295,13885.529114105739,14370.105511952192,14855.151850381866,15335.325472076423,15836.177873101085,16333.38219403103,16831.04805146251,17277.49130791519,17734.903703358024
Nyenga Division,48153.468713507056,49659.44633211475,51409.41315177083,53180.18216751772,54947.90708601475,56812.497967102565,58629.20656188298,60461.46647517383,62148.9199018036,63843.67514463491
Nyimbwa,40849.88195724785,42124.12138005067,43622.55165085662,45150.84512074292,46686.55727312155,48288.32611374464,49869.311602400616,51471.44692026824,52949.51227406226,54429.8577531483
Rubaga Division,312244.9486065507,322143.16209483147,333886.33876165,345694.45105364174,357602.85119201615,370155.2614023648,382503.94560772926,395054.9180668965,406443.62370461226,417936.31341411173
Semuto,26623.32840512693,27489.41385817621,28507.147870838642,29535.350765401497,30567.515062264167,31664.99030160159,32734.824833546765,33834.35316235293,34826.41345172748,35833.009128946345
Semuto Town Council,5162.9394838660955,5330.64567976445,5531.73837239109,5734.805372687988,5943.426778653637,6165.92362033762,6385.776175668463,6614.121926319785,6823.760121280327,7035.23231524881
Wakisi Division,35358.178282015026,36496.3994626319,37817.18743074499,39173.235031644814,40529.203104152344,41973.994454844855,43398.09818101581,44845.204133429565,46157.798128671944,47479.536855396815
Wakiso,256744.64609101415,264921.98081959784,274644.5880464837,284466.79515676014,294476.06402457505,304888.50011418946,315159.9655789733,325672.41981860995,335198.0847652629,344905.12522326596
Wakiso Town Council,92104.09277819842,95072.11120314896,98574.79620515555,102051.09491702914,105591.38525279984,109277.07172898948,112892.80924709514,116600.96315540373,119955.59793059528,123353.75931887142
